State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
GA,24,592,false,true,30,483.1,186,67.61,185.7,172,99.99,288.3,11,78.61,9.2,16,7.27,10,false
NY,199,103,false,true,9,415.5,172,38.75,52.3,42,36.6,214.7,174,56.89,8.3,11,2.49,10,true
CA,154,941,false,true,28,256.6,108,57.19,479.1,55,40.67,97.0,184,0.75,13.1,16,4.2,4,true
CA,13,946,false,false,19,171.2,167,61.5,322.0,179,61.15,348.6,81,50.86,14.1,12,5.85,10,true
FL,107,377,true,true,21,431.9,112,67.77,170.8,199,19.41,368.4,156,58.28,6.2,7,9.16,0,true
TN,174,709,false,false,17,454.7,140,88.0,193.0,6,73.32,133.7,139,38.97,10.5,20,1.06,0,false
NY,186,549,false,true,8,392.8,82,44.25,398.5,44,7.76,233.6,150,63.32,7.6,16,3.41,5,false
VA,103,465,false,false,35,168.3,190,57.33,154.0,186,92.09,484.9,26,66.19,10.4,16,9.08,8,true
NM,155,540,true,true,47,20.4,178,6.51,229.5,74,91.74,291.5,40,92.34,17.7,4,0.74,10,true
FL,132,203,false,true,23,166.6,51,11.04,203.1,16,32.78,49.9,89,13.56,9.7,18,6.91,4,false
IL,39,388,true,false,9,277.2,190,77.0,411.3,123,53.18,147.4,87,2.46,19.5,3,3.54,0,true
TX,16,758,true,false,30,447.6,67,60.34,171.0,193,76.34,407.9,19,67.06,0.4,17,2.28,5,false
NY,37,357,false,true,7,185.1,27,85.6,39.8,145,29.91,2.6,114,45.39,14.8,2,5.57,0,false
TX,191,649,false,true,9,46.8,122,10.05,148.5,131,14.16,95.7,145,28.47,11.5,10,1.35,3,true
CA,168,428,true,false,30,405.3,71,66.31,343.3,193,12.62,433.3,161,47.62,3.2,0,4.54,7,false
TX,104,542,true,true,49,14.9,168,65.04,43.1,163,39.86,55.1,165,78.12,7.9,9,9.01,1,true
CA,164,511,false,true,25,188.6,66,55.86,486.2,142,61.03,58.4,92,33.26,18.3,8,5.52,1,false
MD,104,835,false,false,50,349.4,109,75.96,209.3,146,87.18,239.6,92,39.88,1.2,7,9.13,0,false
CA,105,767,true,false,41,284.7,65,30.15,281.7,84,29.23,228.2,177,73.61,9.4,15,1.79,2,true
CA,147,605,false,true,44,473.4,198,86.03,188.6,160,60.79,197.5,130,3.33,17.2,9,9.42,6,true
PA,134,655,false,false,46,229.6,124,55.21,463.1,89,65.61,488.6,91,49.86,19.0,17,2.71,7,false
FL,105,326,false,false,39,238.3,63,61.19,126.3,60,36.29,459.5,49,32.7,7.6,15,5.48,1,true
GA,121,104,false,true,49,28.6,177,54.23,157.8,194,89.82,266.9,26,70.33,17.7,2,6.55,7,false
PA,159,124,true,false,1,194.6,73,64.52,476.8,7,12.04,434.8,8,2.03,18.2,5,6.5,7,false
ID,93,916,true,false,7,452.6,19,25.33,249.7,69,70.34,467.0,133,15.53,5.4,3,5.09,6,false
WA,191,530,true,true,26,301.2,175,32.42,410.7,105,81.87,241.4,74,76.4,7.0,3,2.89,0,false
TX,84,967,true,true,28,258.7,35,8.88,402.4,153,76.56,32.7,188,91.66,12.7,4,7.14,5,true
OK,91,628,true,true,49,175.7,80,84.72,5.3,45,3.32,423.9,91,7.93,15.3,0,7.33,0,false
LA,69,697,true,true,19,176.0,147,85.19,339.2,108,93.62,128.2,84,15.0,0.5,13,7.24,1,true
FL,51,118,false,true,11,319.7,6,94.78,296.9,24,30.64,405.7,165,96.89,10.6,11,4.77,3,false
CA,29,36,false,false,1,177.8,122,90.52,307.7,193,68.34,200.5,185,72.71,3.9,7,5.75,3,true
FL,60,64,false,false,33,285.7,199,63.6,106.7,172,54.25,97.6,179,15.3,1.9,1,2.09,4,true
TN,32,743,false,true,27,234.6,23,4.74,443.9,158,26.01,118.9,168,59.67,4.2,15,1.78,7,false
LA,155,561,false,true,46,337.8,30,39.25,258.7,155,87.46,456.4,104,15.36,13.1,14,1.31,7,false
CA,80,485,true,true,14,310.5,91,8.07,481.6,108,35.15,391.8,185,76.96,2.6,14,2.3,3,false
CT,195,46,false,false,16,441.6,77,78.31,361.6,62,96.96,481.7,148,34.03,7.5,19,2.11,2,true
TX,83,133,true,true,26,134.6,10,82.65,257.0,187,29.98,286.2,116,48.39,1.7,11,2.32,2,false
MO,151,851,true,false,2,253.8,118,30.63,464.4,39,25.68,185.8,135,71.75,8.2,18,5.32,9,true
DC,131,497,true,false,30,20.0,88,40.48,474.8,176,30.02,31.1,128,5.29,0.9,6,2.93,6,true
OK,121,782,true,true,41,173.1,141,93.36,165.1,38,39.01,430.2,28,66.02,11.2,13,2.83,10,false
TX,133,483,false,false,41,289.5,178,94.37,192.5,21,65.35,206.8,59,5.24,16.6,15,9.9,6,false
CA,90,942,true,false,12,472.0,133,12.05,274.8,142,0.29,431.7,92,26.44,6.4,1,1.95,9,true
IL,182,658,true,false,29,389.6,166,64.35,204.1,73,22.03,464.2,157,53.78,6.7,2,2.4,7,true
OK,90,709,false,false,22,328.4,187,51.28,129.3,18,79.71,272.3,55,93.52,17.1,16,1.83,0,true
MI,44,731,true,true,33,494.4,70,64.85,34.1,180,68.52,243.4,51,30.41,4.5,13,8.46,1,true
PA,126,501,true,true,7,344.1,188,70.47,67.0,9,12.19,237.5,83,90.31,3.3,5,6.08,1,true
IL,116,500,false,true,27,158.6,55,14.28,285.8,192,45.0,260.4,126,21.16,1.0,14,9.6,0,true
AZ,197,590,false,false,29,283.9,46,62.7,358.6,82,15.72,158.7,176,98.72,17.1,15,8.28,5,false
PA,172,393,false,true,37,464.8,57,95.16,310.8,77,93.05,22.5,15,75.61,0.7,0,3.59,8,false
KY,151,601,true,true,44,105.3,92,69.28,69.7,86,32.26,292.8,33,14.55,9.8,9,0.9,0,true
FL,124,450,false,false,38,29.5,94,33.88,488.0,68,7.85,34.3,191,29.11,14.3,3,1.96,2,true
NY,106,454,false,false,11,453.2,53,15.53,22.3,132,69.0,451.9,77,87.61,5.3,5,0.19,8,false
CA,68,223,false,true,44,372.1,178,51.03,365.2,73,97.22,251.4,45,97.42,14.4,7,6.36,1,true
CA,94,717,true,false,24,73.5,146,52.49,340.0,47,79.44,8.8,112,12.83,0.6,9,6.45,5,false
TX,195,780,false,true,29,37.6,199,0.56,45.2,47,1.61,499.3,159,5.65,18.6,15,6.8,3,false
FL,122,410,true,false,21,97.7,142,51.05,12.9,149,58.66,191.4,177,79.18,7.3,0,6.26,9,false
PA,130,146,false,false,1,82.4,67,83.26,130.4,16,1.36,71.8,103,11.71,10.6,5,3.76,2,true
CA,173,799,false,false,40,397.9,57,3.34,161.5,36,79.99,366.8,48,66.13,16.5,13,2.87,7,true
CO,41,96,false,true,36,95.5,48,74.19,317.7,170,83.72,12.6,91,3.82,4.7,19,9.43,4,false
SC,134,141,true,false,0,357.1,23,56.66,20.4,151,49.13,351.6,178,38.79,19.8,8,3.61,4,false
MI,193,796,false,false,26,71.9,168,43.19,257.2,141,0.86,303.2,84,55.76,15.7,3,7.78,1,true
FL,41,696,false,false,8,93.5,40,50.24,461.5,13,73.5,271.8,171,47.7,9.4,13,5.81,9,false
OK,181,310,true,true,15,50.4,57,44.54,402.5,70,32.75,136.0,98,92.23,16.2,0,9.49,3,true
NY,50,721,false,true,0,222.5,195,67.26,400.2,126,69.78,122.2,38,46.96,1.5,6,0.9,1,true
CO,93,172,true,false,28,150.6,131,6.35,129.4,68,89.66,361.0,2,32.08,3.2,9,5.4,10,true
CA,41,298,true,true,24,259.8,128,2.47,234.3,61,1.51,199.3,175,81.21,8.6,3,3.73,1,false
NC,85,201,true,false,36,309.8,54,49.26,426.2,85,45.96,74.6,77,47.86,18.1,0,9.42,1,false
CA,162,58,false,false,9,182.3,143,77.65,320.0,179,8.94,193.7,17,22.63,18.5,13,4.37,10,true
IL,57,526,true,false,17,363.7,14,55.61,408.4,26,25.05,20.2,89,84.78,17.1,2,0.99,8,true
OH,140,864,false,false,46,412.3,111,11.66,3.1,61,79.84,299.3,16,69.82,13.2,12,3.07,6,true
NV,125,822,false,true,45,248.2,197,84.0,352.2,25,98.76,131.7,39,82.35,12.8,5,8.11,4,false
TN,140,551,true,false,14,262.5,107,83.6,417.4,49,9.28,218.1,188,77.34,15.9,5,4.72,2,false
IL,85,287,true,true,13,72.4,10,81.18,12.2,2,33.02,297.6,13,78.63,2.7,1,2.61,1,false
PA,107,20,false,true,30,103.0,137,58.07,158.4,193,38.97,61.0,194,76.59,16.8,5,3.67,7,false
KY,183,552,true,false,17,322.3,125,26.51,416.6,100,31.41,396.1,133,99.75,7.9,7,5.92,2,true
IN,43,998,true,false,0,324.8,137,87.6,134.2,13,95.75,221.6,43,78.51,10.7,11,4.12,2,false
CA,195,176,true,true,39,419.6,51,24.49,401.5,100,43.59,408.1,149,9.28,17.1,8,1.95,6,true
OK,106,378,true,false,39,65.8,68,79.86,313.4,176,0.45,179.2,6,93.9,6.2,9,9.51,5,false
VA,73,835,true,true,19,299.4,45,42.27,86.5,127,57.15,283.8,94,60.13,1.8,18,6.18,2,false
SC,24,451,false,true,7,274.3,20,93.72,124.6,46,3.2,484.2,70,73.12,16.9,6,8.98,2,false
CA,94,109,false,true,7,398.4,73,45.2,473.2,115,61.47,98.5,154,6.25,3.5,1,2.96,0,false
LA,121,958,true,true,10,138.9,113,40.33,414.4,22,17.06,413.6,35,59.75,5.6,18,9.71,1,true
MN,137,159,true,false,45,139.1,137,43.02,117.4,117,49.71,424.2,94,35.5,18.0,5,9.27,1,false
NY,124,116,false,false,16,366.2,141,71.44,157.6,30,59.57,396.5,4,84.01,7.7,8,8.3,5,false
NC,192,887,false,false,17,418.7,54,83.38,190.2,165,54.43,73.9,158,44.45,4.2,3,6.4,1,true
TN,111,984,true,true,36,495.8,2,66.42,32.5,46,11.17,299.8,193,9.22,19.8,13,6.56,9,true
IL,94,364,false,false,34,321.6,172,83.45,43.1,4,19.75,25.8,130,5.81,9.4,19,0.18,3,true
IL,131,868,true,false,21,497.2,188,4.31,36.0,173,92.33,87.0,56,49.69,11.1,9,7.07,4,true
CA,11,613,true,false,17,390.4,54,63.94,312.4,14,98.33,42.5,29,83.82,16.9,3,8.36,9,false
GA,94,849,true,true,2,118.2,29,42.66,93.3,78,36.33,175.7,174,3.18,9.2,18,8.34,10,false
DC,175,345,false,false,25,343.8,51,3.8,163.2,141,13.01,424.7,90,37.44,4.3,10,4.85,8,false
TX,92,258,true,false,17,192.1,34,43.41,92.4,12,68.72,366.9,124,44.42,14.1,20,5.66,0,true
TX,193,511,true,true,13,38.5,66,82.2,348.8,100,67.79,121.0,47,83.98,12.6,15,8.79,5,false
TN,130,686,true,false,40,108.6,179,18.18,271.0,111,22.02,246.9,129,18.98,8.5,9,8.89,10,false
NY,113,456,false,true,18,226.3,59,74.65,194.7,178,88.68,379.0,178,69.4,1.1,12,8.41,4,false
WA,137,74,false,false,21,139.5,184,57.69,276.8,61,82.98,12.6,69,72.32,16.7,5,4.72,8,false
VA,25,203,false,false,50,136.0,108,66.6,77.6,76,37.99,489.9,111,86.96,15.9,12,8.63,7,true
AL,143,373,false,true,36,220.4,120,56.74,173.9,146,57.52,395.2,65,20.21,11.2,14,5.52,1,true
TX,95,408,false,false,16,330.8,82,63.03,188.4,81,24.11,326.0,190,25.12,1.8,15,7.91,3,false
